Isotope,Energy,Intensity,Half life (s),Half life (m),half life (h),half life (d)
IR-194g,938.69,0.6,69408.0,1156.8,19.28,0.8033333333333333
188IR,939.57,0.66,149400.0,2490.0,41.5,1.7291666666666667
188IR,946.98,0.129,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,977.54,2.8,37800.0,630.0,10.5,0.4375
IR-187g,987.35,2.5,37800.0,630.0,10.5,0.4375
188IR,987.43,0.93,149400.0,2490.0,41.5,1.7291666666666667
188IR,1012.54,0.121,149400.0,2490.0,41.5,1.7291666666666667
188IR,1017.63,1.06,149400.0,2490.0,41.5,1.7291666666666667
189PT,1026.73,0.23,39132.0,652.2,10.87,0.4529166666666667
IR-190g,1036.05,2.42,1017792.0,16963.2,282.72,11.78
IR-187g,1037.96,0.34,37800.0,630.0,10.5,0.4375
IR-187g,1080.6,0.109,37800.0,630.0,10.5,0.4375
188IR,1096.54,1.46,149400.0,2490.0,41.5,1.7291666666666667
IR-187g,1102.22,0.151,37800.0,630.0,10.5,0.4375
189PT,1106.3,0.15,39132.0,652.2,10.87,0.4529166666666667
IR-187g,1111.99,0.45,37800.0,630.0,10.5,0.4375
IR-190g,1133.77,0.43,1017792.0,16963.2,282.72,11.78
188IR,1142.54,0.37,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,1147.3,0.132,1017792.0,16963.2,282.72,11.78
188IR,1149.77,0.53,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1150.75,0.6,69408.0,1156.8,19.28,0.8033333333333333
188IR,1174.59,1.32,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1183.49,0.31,69408.0,1156.8,19.28,0.8033333333333333
IR-190g,1200.24,0.44,1017792.0,16963.2,282.72,11.78
188IR,1209.77,6.9,149400.0,2490.0,41.5,1.7291666666666667
189PT,1254.03,0.31,39132.0,652.2,10.87,0.4529166666666667
188IR,1295.44,0.134,149400.0,2490.0,41.5,1.7291666666666667
188IR,1302.29,0.33,149400.0,2490.0,41.5,1.7291666666666667
188IR,1304.7,0.19,149400.0,2490.0,41.5,1.7291666666666667
188IR,1307.64,0.15,149400.0,2490.0,41.5,1.7291666666666667
188IR,1322.96,0.4,149400.0,2490.0,41.5,1.7291666666666667
189PT,1323.66,0.23,39132.0,652.2,10.87,0.4529166666666667
IR-190g,1324.3,0.48,1017792.0,16963.2,282.72,11.78
188IR,1329.1,0.22,149400.0,2490.0,41.5,1.7291666666666667
188IR,1331.81,0.47,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,1386.95,0.155,1017792.0,16963.2,282.72,11.78
IR-190g,1397.24,0.15,1017792.0,16963.2,282.72,11.78
188IR,1435.42,1.48,149400.0,2490.0,41.5,1.7291666666666667
188IR,1452.28,1.06,149400.0,2490.0,41.5,1.7291666666666667
188IR,1457.19,1.75,149400.0,2490.0,41.5,1.7291666666666667
189PT,1457.85,0.18,39132.0,652.2,10.87,0.4529166666666667
188IR,1462.7,0.41,149400.0,2490.0,41.5,1.7291666666666667
188IR,1465.24,1.35,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1468.91,0.19,69408.0,1156.8,19.28,0.8033333333333333
189PT,1476.91,0.24,39132.0,652.2,10.87,0.4529166666666667
188IR,1530.06,0.23,149400.0,2490.0,41.5,1.7291666666666667
188IR,1558.66,0.87,149400.0,2490.0,41.5,1.7291666666666667
188IR,1571.6,0.115,149400.0,2490.0,41.5,1.7291666666666667
188IR,1574.48,2.63,149400.0,2490.0,41.5,1.7291666666666667
188IR,1618.8,0.49,149400.0,2490.0,41.5,1.7291666666666667
188IR,1652.67,0.31,149400.0,2490.0,41.5,1.7291666666666667
188IR,1688.04,0.74,149400.0,2490.0,41.5,1.7291666666666667
188IR,1688.04,0.74,149400.0,2490.0,41.5,1.7291666666666667
188IR,1715.67,6.2,149400.0,2490.0,41.5,1.7291666666666667
188IR,1726.9,0.118,149400.0,2490.0,41.5,1.7291666666666667
188IR,1802.18,0.97,149400.0,2490.0,41.5,1.7291666666666667
188IR,1807.8,0.116,149400.0,2490.0,41.5,1.7291666666666667
188IR,1810.2,0.34,149400.0,2490.0,41.5,1.7291666666666667
188IR,1843.0,0.16,149400.0,2490.0,41.5,1.7291666666666667
188IR,1930.65,0.29,149400.0,2490.0,41.5,1.7291666666666667
188IR,1944.08,3.9,149400.0,2490.0,41.5,1.7291666666666667
188IR,1957.29,0.43,149400.0,2490.0,41.5,1.7291666666666667
188IR,2011.39,0.62,149400.0,2490.0,41.5,1.7291666666666667
188IR,2049.78,5.0,149400.0,2490.0,41.5,1.7291666666666667
188IR,2059.65,7.1,149400.0,2490.0,41.5,1.7291666666666667
188IR,2096.9,5.7,149400.0,2490.0,41.5,1.7291666666666667
188IR,2099.1,4.7,149400.0,2490.0,41.5,1.7291666666666667
188IR,2130.9,0.27,149400.0,2490.0,41.5,1.7291666666666667
188IR,2144.85,0.16,149400.0,2490.0,41.5,1.7291666666666667
188IR,2192.3,0.35,149400.0,2490.0,41.5,1.7291666666666667
188IR,2193.67,2.0,149400.0,2490.0,41.5,1.7291666666666667
188IR,2214.59,18.7,149400.0,2490.0,41.5,1.7291666666666667
188IR,2219.1,0.191,149400.0,2490.0,41.5,1.7291666666666667
188IR,2222.0,0.228,149400.0,2490.0,41.5,1.7291666666666667
188IR,2252.09,0.35,149400.0,2490.0,41.5,1.7291666666666667
188IR,2305.61,0.137,149400.0,2490.0,41.5,1.7291666666666667
188IR,2347.5,0.65,149400.0,2490.0,41.5,1.7291666666666667
188IR,2394.35,0.16,149400.0,2490.0,41.5,1.7291666666666667
188IR,2460.51,0.23,149400.0,2490.0,41.5,1.7291666666666667
